party,year,total_votes,no_of_seats
IPBP,2019,20682,12
IPFT,2014,21326,2
IPFT,2019,89529,2
IPGP,2014,3488,3
IPGP,2019,9538,2
IPP,2014,2155,1
IRNP,2019,2012,1
ISSP,2014,16903,4
IUC,2014,13527,3
IUC,2019,4003,2
IUML,2014,1100096,25
IUML,2019,1592467,9
IVD,2014,2570,2
IVD,2019,718,1
IVP,2014,398,1
JAAP,2019,1812,1
JAC,2019,14595,7
JAJGP,2019,11464,7
JANADIP,2019,79975,19
JANKRPR,2019,4873,2
JANSAPP,2019,3646,4
JAP,2014,2249,2
JAPL,2019,97631,1
JASP,2019,712,1
JASWP,2019,1056,1
JBSP,2014,215607,1
JD,2019,1572,1
JD(S),2014,3731481,34
JD(S),2019,3457107,9
JD(U),2014,5984608,91
JD(U),2019,8926679,25
JDL,2019,203369,2
JDP,2014,105435,18
JDR,2014,53864,9
JDR,2019,27584,3
JGHTP,2019,6171,2
JGP,2014,27624,7
JHAP,2014,12240,3
JHAP,2019,4164,1
JHBHP,2019,7192,2
JHP,2014,14754,1
JHP,2019,13693,1
JJ,2014,1517,1
JJJKP,2019,4809,4
JKM,2014,2711,1
JKN,2014,396713,3
JKN,2019,280356,3
JKNPP,2014,57103,13
JKNPP,2019,39760,8
JKP,2014,203869,4
JKP,2019,35060,4
JKP(N),2014,16670,3
JKP(N),2019,18869,2
JKPDP,2014,732644,5
JKPDP,2019,84054,2
JKPP,2019,16195,4
JKPPAP,2019,1612,1
JKPS,2019,1244,1
JKiP,2019,33902,8
JLokP,2019,473,1
JM,2014,2901,1
JMBP,2014,57988,27
JMBP,2019,3267,3
JMM,2014,1465010,20
JMM,2019,1901976,13
JMM(U),2014,3512,1
JMM(U),2019,8672,1
JND,2014,4719,1
JNJP,2019,619970,7
JNSMP,2019,3706,3
JP,2019,13467,4
JPC,2014,71154,1
JPC,2019,133612,3
JPD,2019,913,1
JPJD,2014,27619,5
JPJD,2019,27404,11
JPS,2014,47696,12
JPS,2019,2640,2
JRPa,2014,3846,2
JRPa,2019,2308,2
JRVP,2019,2364,1
JSEP,2014,6636,3
JSEP,2019,1557,1
JSK,2014,4489,1
JSMP,2014,357,1
JSP,2019,2484,2
JSVP,2019,10569,5
JTVP,2019,17955,3
JVBP,2014,4270,2
JVBP,2019,696,1
JVD,2014,10870,2
JVM,2014,1579772,16
JVM,2019,750799,2
JaRaP,2014,2543,1
JaRaPa,2014,1318,1
JaSD,2019,5758,2
JaSPa,2014,204260,27
JaSSP,2019,3731,2
JanSP,2014,944,1
JanSP,2019,11324,5
JeSM,2014,10564,3
JeSM,2019,5885,2
JnP,2019,1915127,24
KAP,2014,33172,10
KARASP,2019,512,1
KBD,2019,7255,5
KCVP,2014,707,1
KCVP,2019,2510,1
KDC,2014,1345,1
KEC,2019,155135,1
KEC(M),2014,424194,1
KEC(M),2019,421046,1
KHSNP,2019,687,1
KJP,2019,2013,2
KKJHS,2019,11200,5
KKMP,2019,3084,4
KMBS,2014,7839,2
KMBS,2019,1574,1
KMSP,2019,7974,4
KPJP,2019,1207,1
KPOI,2019,5647,2
KPPR,2019,3697,2
KPPU,2019,12666,6
KRUP,2019,8510,3
KS,2014,2946,1
KS,2019,12432,5
KSRP,2019,2426,1
KSRSP,2019,3303,1
KVD,2014,7541,3
LAJSP,2019,9868,1
LB,2014,13399,8
LCD,2019,2384,1
LD,2014,48202,21
LD,2019,18218,5
LIP,2019,469784,3
LJGP,2019,1135,1
LJP,2014,2295929,7
LJP,2019,3206979,6
LJSPty,2019,968,1
LJVM,2019,9278,2
LKJP,2014,10026,3
LKSGM,2019,8418,1
LOGAP,2019,18684,7
LOKJANP,2019,2725,1
LPI(V),2014,1993,1
LPR,2014,4396,3
LPSP,2014,13304,3
LPSP,2019,478,1
LS,2014,3722,1
LSD,2019,6313,1
LSP,2014,165670,7
LSWP,2014,2820,2
LTSP,2019,55280,2
LoRP,2014,1491,2
LoRP,2019,705,1
MADP,2014,15742,3
MADP,2019,59235,13
MAHKRS,2019,2761,1
MAHP,2014,2101,1
MAMAK,2014,236679,1
MARD,2019,973,2
MBCOI,2014,19417,9
MBT,2014,11347,4
MCO,2014,110185,1
MCPI,2014,13019,5
MCPI,2019,21045,6
MD,2014,22774,3
MDKMGPH,2019,1669,1
MDMK,2014,1417535,7
MDPF,2014,2005,1
MDPF,2019,1256,1
MEDP,2014,10490,3
MHD,2014,2482,1
MHD,2019,2477,1
MKDVP,2019,5017,5
MKUP,2014,360,1
MKUP,2019,687,1
MKat,2019,1115,2
MLJK,2019,265,1
MLPOIRF,2019,14016,3
MMKA,2014,8468,7
MMKA,2019,3599,1
MMM,2014,4409,1
MNDP,2014,11225,6
MNDP,2019,6198,3
MNF,2019,224286,1
MNM,2019,1613708,37
MNS,2014,708010,10
MNVP,2019,3962,1
MOP,2014,5406,1
MOSP,2014,4986,2
MOSP,2019,21234,3
MPEP,2019,1783,1
MPJVP,2019,15472,3
MPOI,2019,4057,2
MPP,2019,7342,4
